"Target","Submission Date","Difficulty","Quaternary State of Target","# of Monomeric Models (Homo-oligomeric)","ref. PDB [Chain]","Sequence Length (residues)","Method","Resolution"
"2023-04-22_00000082_1","2023-04-22","1","2","38","7zpn [A]","184","X-RAY DIFFRACTION","1.94"
"2023-04-22_00000083_1","2023-04-22","1","2","38","8a0c [A]","1173","X-RAY DIFFRACTION","2.9"
"2023-04-22_00000098_1","2023-04-22","1","0","41","8a8k [A]","335","X-RAY DIFFRACTION","3.1"
"2023-04-22_00000115_2","2023-04-22","1","1","42","8arb [B]","76","X-RAY DIFFRACTION","2.63"
"2023-04-22_00000164_2","2023-04-22","0","1","43","8dqm [H]","139","X-RAY DIFFRACTION","2.7"
"2023-04-22_00000202_1","2023-04-22","0","2","44","8gqz [A]","479","X-RAY DIFFRACTION","1.42"
"2023-04-22_00000207_1","2023-04-22","0","0","38","8gxd [A]","374","X-RAY DIFFRACTION","3.02"
"2023-04-22_00000219_3","2023-04-22","1","1","43","8hhf [L]","121","X-RAY DIFFRACTION","3.04"
"2023-04-22_00000222_2","2023-04-22","1","1","38","8hk0 [B]","384","X-RAY DIFFRACTION","2.29"
"2023-04-15_00000012_1","2023-04-15","1","2","53","7unh [A]","246","X-RAY DIFFRACTION","2.4"
"2023-04-15_00000016_1","2023-04-15","0","2","52","7uoc [A]","274","X-RAY DIFFRACTION","2.3"
"2023-04-15_00000043_1","2023-04-15","1","0","44","7xio [B]","497","X-RAY DIFFRACTION","2.64"
"2023-04-15_00000050_1","2023-04-15","0","2","51","7xrq [A]","355","X-RAY DIFFRACTION","2.501"
"2023-04-15_00000051_1","2023-04-15","0","0","50","7y11 [A]","299","X-RAY DIFFRACTION","1.95"
"2023-04-15_00000121_1","2023-04-15","0","2","49","8avk [A]","203","X-RAY DIFFRACTION","2.1"
"2023-04-15_00000122_1","2023-04-15","0","2","49","8avl [A]","192","X-RAY DIFFRACTION","1.6"
"2023-04-15_00000123_1","2023-04-15","0","2","49","8avm [A]","192","X-RAY DIFFRACTION","2"
"2023-04-15_00000205_1","2023-04-15","1","2","47","8gps [A]","244","X-RAY DIFFRACTION","1.39"
"2023-04-15_00000207_1","2023-04-15","0","0","44","8gyn [A]","160","X-RAY DIFFRACTION","1.38"
"2023-04-15_00000210_1","2023-04-15","1","0","51","8h02 [A]","84","X-RAY DIFFRACTION","1.552"
"2023-04-15_00000232_1","2023-04-15","0","0","36","8ian [A]","270","X-RAY DIFFRACTION","2.08"
"2023-04-15_00000234_1","2023-04-15","0","0","41","8ibj [A]","270","X-RAY DIFFRACTION","1.92"
"2023-04-15_00000235_1","2023-04-15","1","0","39","8inh [B]","479","X-RAY DIFFRACTION","2.5"
"2023-04-15_00000255_1","2023-04-15","0","0","36","8sf3 [A]","713","X-RAY DIFFRACTION","1.7"
"2023-04-08_00000022_2","2023-04-08","0","1","50","7sfy [C]","42","X-RAY DIFFRACTION","2.5"
"2023-04-08_00000039_2","2023-04-08","1","1","50","7txf [F]","30","X-RAY DIFFRACTION","2.47"
"2023-04-08_00000056_1","2023-04-08","0","2","50","7ukx [B]","415","X-RAY DIFFRACTION","1.8"
"2023-04-08_00000077_2","2023-04-08","0","1","50","7xad [C]","105","X-RAY DIFFRACTION","3"
"2023-04-08_00000084_1","2023-04-08","1","2","51","7xgt [B]","302","X-RAY DIFFRACTION","1.7"
"2023-04-08_00000085_1","2023-04-08","1","0","52","7xgv [A]","655","X-RAY DIFFRACTION","2.27"
"2023-04-08_00000118_1","2023-04-08","1","0","50","7zl9 [A]","431","X-RAY DIFFRACTION","2.7"
"2023-04-08_00000119_1","2023-04-08","1","0","49","7zly [A]","431","X-RAY DIFFRACTION","2.7"
"2023-04-08_00000137_1","2023-04-08","0","2","49","8ast [C]","131","X-RAY DIFFRACTION","1.55"
"2023-04-08_00000157_1","2023-04-08","1","0","47","8c3e [A]","58","X-RAY DIFFRACTION","2.1"
"2023-04-08_00000175_1","2023-04-08","1","2","49","8e0l [A]","165","X-RAY DIFFRACTION","2.1"
"2023-04-08_00000197_1","2023-04-08","1","2","49","8fft [D]","370","X-RAY DIFFRACTION","2.1"
"2023-04-08_00000264_1","2023-04-08","0","0","50","8sbn [A]","214","X-RAY DIFFRACTION","1.15"
"2023-04-01_00000008_1","2023-04-01","0","0","52","7ui2 [B]","128","X-RAY DIFFRACTION","1.19"
"2023-04-01_00000009_1","2023-04-01","0","1","52","7ui8 [A]","128","X-RAY DIFFRACTION","2.373"
"2023-04-01_00000013_1","2023-04-01","0","1","48","7uie [E]","138","X-RAY DIFFRACTION","3.23"
"2023-04-01_00000027_1","2023-04-01","1","0","51","7uv3 [A]","48","SOLUTION NMR","0"
"2023-04-01_00000038_1","2023-04-01","1","0","49","7x2n [A]","388","X-RAY DIFFRACTION","1.72"
"2023-04-01_00000041_1","2023-04-01","1","2","50","7x36 [A]","373","X-RAY DIFFRACTION","1.92"
"2023-04-01_00000057_1","2023-04-01","0","2","50","7xfs [A]","96","X-RAY DIFFRACTION","1.06"
"2023-04-01_00000084_1","2023-04-01","0","2","54","7zbh [B]","453","X-RAY DIFFRACTION","3.3"
"2023-04-01_00000112_1","2023-04-01","0","2","53","8ag8 [A]","113","X-RAY DIFFRACTION","1.8"
"2023-04-01_00000114_1","2023-04-01","1","1","53","8av2 [B]","198","X-RAY DIFFRACTION","1.75"
"2023-04-01_00000131_1","2023-04-01","1","2","44","8bs7 [C]","217","X-RAY DIFFRACTION","3.2"
"2023-04-01_00000234_1","2023-04-01","0","2","51","8fx9 [A]","170","X-RAY DIFFRACTION","1.36"
"2023-04-01_00000241_2","2023-04-01","1","1","49","8gai [D]","30","X-RAY DIFFRACTION","2.65"
"2023-04-01_00000245_1","2023-04-01","0","2","47","8hye [C]","372","X-RAY DIFFRACTION","2.2"
"2023-04-01_00000247_2","2023-04-01","1","1","50","8i2e [B]","311","X-RAY DIFFRACTION","3.2"
"2023-04-01_00000254_1","2023-04-01","0","0","52","8iom [A]","205","X-RAY DIFFRACTION","3"
"2023-03-25_00000057_1","2023-03-25","2","0","45","7uba [A]","213","X-RAY DIFFRACTION","1.599"
"2023-03-25_00000064_1","2023-03-25","0","2","39","7ueh [G]","475","X-RAY DIFFRACTION","2.4"
"2023-03-25_00000092_2","2023-03-25","1","1","46","7w75 [D]","206","X-RAY DIFFRACTION","3.2"
"2023-03-25_00000097_1","2023-03-25","2","0","51","7xbj [A]","368","X-RAY DIFFRACTION","2.08"
"2023-03-25_00000109_1","2023-03-25","0","0","43","7xdv [A]","313","X-RAY DIFFRACTION","1.97"
"2023-03-25_00000115_1","2023-03-25","0","0","45","7xks [A]","304","X-RAY DIFFRACTION","1.78"
"2023-03-25_00000138_1","2023-03-25","0","2","49","7xuy [A]","70","X-RAY DIFFRACTION","2.001"
"2023-03-25_00000184_2","2023-03-25","0","1","47","7zak [B]","262","X-RAY DIFFRACTION","1.62"
"2023-03-25_00000205_1","2023-03-25","0","0","39","8ak2 [A]","297","X-RAY DIFFRACTION","1.75"
"2023-03-25_00000225_1","2023-03-25","1","2","33","8b7f [A]","474","X-RAY DIFFRACTION","4.6"
"2023-03-25_00000252_2","2023-03-25","2","1","45","8dvn [B]","32","X-RAY DIFFRACTION","2.53"
"2023-03-25_00000258_1","2023-03-25","0","2","43","8e7n [A]","303","X-RAY DIFFRACTION","1.65"
"2023-03-25_00000277_1","2023-03-25","1","0","43","8fey [A]","36","SOLUTION NMR","0"
"2023-03-25_00000297_1","2023-03-25","1","1","49","8g0p [A]","143","X-RAY DIFFRACTION","2"
"2023-03-18_00000017_2","2023-03-18","1","1","48","7udj [H]","192","X-RAY DIFFRACTION","2.7"
"2023-03-18_00000018_1","2023-03-18","1","1","41","7udk [A]","172","X-RAY DIFFRACTION","3.18"
"2023-03-18_00000026_1","2023-03-18","1","0","38","7uwy [A]","61","SOLUTION NMR","0"
"2023-03-18_00000027_1","2023-03-18","2","0","46","7uwz [A]","62","SOLUTION NMR","0"
"2023-03-18_00000050_1","2023-03-18","1","0","42","7xb6 [A]","597","X-RAY DIFFRACTION","2.901"
"2023-03-18_00000082_1","2023-03-18","1","0","42","7z35 [A]","81","X-RAY DIFFRACTION","2.3"
"2023-03-18_00000108_1","2023-03-18","1","0","41","7ztf [A]","58","X-RAY DIFFRACTION","1.1"
"2023-03-18_00000119_1","2023-03-18","0","0","45","7zvh [A]","58","X-RAY DIFFRACTION","1.2"
"2023-03-18_00000120_1","2023-03-18","1","0","40","7zw2 [A]","58","X-RAY DIFFRACTION","1.2"
"2023-03-18_00000137_1","2023-03-18","1","0","41","8ark [A]","546","X-RAY DIFFRACTION","3.22"
"2023-03-18_00000155_1","2023-03-18","0","2","39","8bj4 [C]","363","X-RAY DIFFRACTION","1.45"
"2023-03-18_00000185_1","2023-03-18","1","2","42","8dba [G]","568","X-RAY DIFFRACTION","3.5"
"2023-03-18_00000197_1","2023-03-18","1","0","44","8dvq [A]","166","X-RAY DIFFRACTION","2.19"
"2023-03-18_00000199_1","2023-03-18","1","0","38","8dx0 [A]","154","X-RAY DIFFRACTION","1.45"
"2023-03-18_00000217_1","2023-03-18","1","0","41","8ew8 [A]","249","X-RAY DIFFRACTION","2.15"
"2023-03-11_00000018_1","2023-03-11","0","0","46","7u6i [A]","251","X-RAY DIFFRACTION","2.05"
"2023-03-11_00000044_1","2023-03-11","1","2","49","7x6f [D]","175","X-RAY DIFFRACTION","2.3"
"2023-03-11_00000047_2","2023-03-11","0","1","46","7x7h [B]","91","X-RAY DIFFRACTION","2"
"2023-03-11_00000062_1","2023-03-11","0","0","35","7xtj [B]","788","X-RAY DIFFRACTION","2.5"
"2023-03-11_00000070_1","2023-03-11","0","0","51","7ysi [A]","149","X-RAY DIFFRACTION","1.202"
"2023-03-11_00000086_1","2023-03-11","0","1","49","8ahq [A]","250","X-RAY DIFFRACTION","2.1"
"2023-03-11_00000122_2","2023-03-11","0","1","40","8emy [G]","122","X-RAY DIFFRACTION","1.7"
"2023-03-11_00000130_2","2023-03-11","0","1","41","8en6 [C]","121","X-RAY DIFFRACTION","1.6"
"2023-03-11_00000146_1","2023-03-11","0","0","41","8fc0 [C]","381","X-RAY DIFFRACTION","2.1"
"2023-03-11_00000152_1","2023-03-11","1","0","48","8gbe [A]","207","X-RAY DIFFRACTION","1.46"
"2023-03-11_00000154_1","2023-03-11","1","2","47","8gci [A]","282","X-RAY DIFFRACTION","2.42"
"2023-03-11_00000164_1","2023-03-11","1","2","40","8i5a [A]","776","X-RAY DIFFRACTION","2.75"
"2023-03-04_00000110_1","2023-03-04","1","2","46","8aep [A]","403","X-RAY DIFFRACTION","2.3"
"2023-03-04_00000111_1","2023-03-04","1","0","46","8afo [A]","216","X-RAY DIFFRACTION","1.99"
"2023-03-04_00000124_1","2023-03-04","0","0","50","8air [A]","287","X-RAY DIFFRACTION","1.08"
"2023-03-04_00000126_1","2023-03-04","0","0","40","8ait [A]","310","X-RAY DIFFRACTION","1.24"
"2023-03-04_00000157_1","2023-03-04","1","2","46","8bgt [A]","319","X-RAY DIFFRACTION","2.15"
"2023-03-04_00000167_1","2023-03-04","1","2","46","8bie [A]","318","X-RAY DIFFRACTION","2.25"
"2023-03-04_00000168_1","2023-03-04","1","2","49","8bif [A]","318","X-RAY DIFFRACTION","2"
"2023-03-04_00000171_1","2023-03-04","1","2","47","8bii [A]","335","X-RAY DIFFRACTION","2.8"
"2023-03-04_00000172_1","2023-03-04","1","2","46","8bij [A]","318","X-RAY DIFFRACTION","1.55"
"2023-03-04_00000237_1","2023-03-04","1","0","47","8e7f [A]","618","X-RAY DIFFRACTION","2"
"2023-03-04_00000248_1","2023-03-04","1","2","51","8ein [B]","370","X-RAY DIFFRACTION","2.7"
"2023-03-04_00000265_1","2023-03-04","1","0","39","8f3k [A]","124","X-RAY DIFFRACTION","2.1"
"2023-03-04_00000269_1","2023-03-04","1","0","45","8f70 [A]","568","X-RAY DIFFRACTION","2.29"
"2023-02-25_00000019_1","2023-02-25","1","2","48","7uql [A]","158","X-RAY DIFFRACTION","1.9"
"2023-02-25_00000035_1","2023-02-25","1","2","49","7x2p [A]","252","X-RAY DIFFRACTION","2.89"
"2023-02-25_00000036_1","2023-02-25","0","0","44","7x2q [A]","476","X-RAY DIFFRACTION","3.68"
"2023-02-25_00000049_1","2023-02-25","0","2","45","7xll [A]","380","X-RAY DIFFRACTION","1.76"
"2023-02-25_00000075_1","2023-02-25","0","0","42","7yzw [D]","132","X-RAY DIFFRACTION","1.6"
"2023-02-25_00000076_1","2023-02-25","0","1","49","7zmk [A]","255","X-RAY DIFFRACTION","3.4"
"2023-02-25_00000090_1","2023-02-25","1","1","48","8ath [A]","171","X-RAY DIFFRACTION","2.366"
"2023-02-25_00000118_1","2023-02-25","1","0","46","8ayr [A]","704","X-RAY DIFFRACTION","2.7"
"2023-02-25_00000123_1","2023-02-25","1","2","41","8brp [A]","309","X-RAY DIFFRACTION","2.6"
"2023-02-25_00000130_1","2023-02-25","0","2","49","8cip [A]","681","X-RAY DIFFRACTION","2.1"
"2023-02-25_00000137_1","2023-02-25","0","1","45","8ct8 [A]","161","X-RAY DIFFRACTION","2.5"
"2023-02-25_00000137_2","2023-02-25","0","1","41","8ct8 [C]","161","X-RAY DIFFRACTION","2.5"
"2023-02-25_00000142_1","2023-02-25","1","0","46","8df0 [B]","174","X-RAY DIFFRACTION","2.1"
"2023-02-25_00000144_1","2023-02-25","0","2","49","8dgd [A]","178","X-RAY DIFFRACTION","1.9"
"2023-02-25_00000146_2","2023-02-25","0","1","40","8dpb [C]","191","X-RAY DIFFRACTION","2.72"
"2023-02-25_00000153_1","2023-02-25","1","2","55","8eaw [a]","323","X-RAY DIFFRACTION","2.8"
"2023-02-25_00000178_2","2023-02-25","2","1","45","8fk3 [B]","40","X-RAY DIFFRACTION","2.6"
"2023-02-25_00000185_2","2023-02-25","1","1","46","8ftu [B]","113","X-RAY DIFFRACTION","5.73"
"2023-02-25_00000191_1","2023-02-25","0","2","42","8g4u [A]","881","X-RAY DIFFRACTION","2.9"
"2023-02-18_00000046_1","2023-02-18","0","2","26","7wxe [A]","310","X-RAY DIFFRACTION","2.5"
"2023-02-18_00000058_1","2023-02-18","1","0","25","7wzl [A]","492","X-RAY DIFFRACTION","2.27"
"2023-02-18_00000061_2","2023-02-18","2","1","21","7x9g [C]","123","X-RAY DIFFRACTION","2.8"
"2023-02-18_00000064_1","2023-02-18","1","2","20","7xhp [F]","493","X-RAY DIFFRACTION","2.78"
"2023-02-18_00000080_1","2023-02-18","1","0","20","7ygk [A]","113","X-RAY DIFFRACTION","1.24"
"2023-02-18_00000102_1","2023-02-18","1","2","26","7z4x [A]","433","X-RAY DIFFRACTION","2.05"
"2023-02-18_00000104_1","2023-02-18","1","0","23","7z8e [A]","610","X-RAY DIFFRACTION","1.58"
"2023-02-18_00000124_1","2023-02-18","1","2","25","8a2n [B]","348","X-RAY DIFFRACTION","2.35"
"2023-02-18_00000137_1","2023-02-18","0","0","25","8are [A]","525","X-RAY DIFFRACTION","1.9"
"2023-02-18_00000139_1","2023-02-18","0","0","21","8ay0 [B]","521","X-RAY DIFFRACTION","1.51"
"2023-02-18_00000185_1","2023-02-18","1","0","24","8dpk [A]","300","X-RAY DIFFRACTION","1.94"
"2023-02-18_00000205_2","2023-02-18","1","1","21","8egw [B]","467","X-RAY DIFFRACTION","2.3"
"2023-02-18_00000272_2","2023-02-18","1","1","22","8he0 [B]","43","X-RAY DIFFRACTION","1.8"
"2023-02-18_00000274_1","2023-02-18","0","0","20","8hkg [B]","383","X-RAY DIFFRACTION","2.56"
"2023-02-11_00000073_1","2023-02-11","1","0","38","7r2x [A]","773","X-RAY DIFFRACTION","3.35"
"2023-02-11_00000081_1","2023-02-11","0","2","40","7r39 [A]","438","X-RAY DIFFRACTION","2.5"
"2023-02-11_00000114_2","2023-02-11","0","1","32","7uc8 [H]","264","X-RAY DIFFRACTION","2.9"
"2023-02-11_00000115_2","2023-02-11","0","1","33","7ucq [H]","261","X-RAY DIFFRACTION","2.5"
"2023-02-11_00000117_1","2023-02-11","1","2","47","7ug2 [A]","59","X-RAY DIFFRACTION","2.052"
"2023-02-11_00000125_1","2023-02-11","1","0","41","7uk6 [A]","394","X-RAY DIFFRACTION","1.9"
"2023-02-11_00000155_1","2023-02-11","1","2","41","7wup [A]","426","X-RAY DIFFRACTION","2.3"
"2023-02-11_00000184_1","2023-02-11","1","2","38","7xre [C]","367","X-RAY DIFFRACTION","2.76"
"2023-02-11_00000189_1","2023-02-11","1","0","48","7ydt [A]","161","X-RAY DIFFRACTION","2.055"
"2023-02-11_00000208_1","2023-02-11","2","1","48","8adb [A]","215","X-RAY DIFFRACTION","1.73"
"2023-02-11_00000212_1","2023-02-11","1","0","37","8amo [A]","399","X-RAY DIFFRACTION","1.4"
"2023-02-11_00000214_1","2023-02-11","1","0","36","8amq [A]","484","X-RAY DIFFRACTION","1.6"
"2023-02-11_00000240_1","2023-02-11","1","0","24","8bvo [A]","199","X-RAY DIFFRACTION","2.55"
"2023-02-11_00000242_1","2023-02-11","1","0","23","8bxr [A]","300","X-RAY DIFFRACTION","2.7"
"2023-02-11_00000253_1","2023-02-11","1","0","44","8daj [A]","302","X-RAY DIFFRACTION","1.2"
"2023-02-11_00000284_1","2023-02-11","0","1","47","8e3g [A]","396","X-RAY DIFFRACTION","2.8"
"2023-02-04_00000010_1","2023-02-04","1","0","41","7qw4 [L]","193","X-RAY DIFFRACTION","3.1"
"2023-02-04_00000042_1","2023-02-04","2","0","41","7tod [A]","108","SOLUTION NMR","0"
"2023-02-04_00000060_1","2023-02-04","1","2","41","7x7z [B]","145","X-RAY DIFFRACTION","2.903"
"2023-02-04_00000066_1","2023-02-04","0","2","40","7xdr [A]","480","X-RAY DIFFRACTION","2.4"
"2023-02-04_00000068_1","2023-02-04","0","0","38","7xg7 [A]","326","X-RAY DIFFRACTION","1.7"
"2023-02-04_00000069_1","2023-02-04","0","0","38","7xg8 [A]","321","X-RAY DIFFRACTION","2.25"
"2023-02-04_00000095_1","2023-02-04","2","1","40","7ytt [A]","92","X-RAY DIFFRACTION","1.81"
"2023-02-04_00000111_1","2023-02-04","1","0","39","7zvo [A]","141","X-RAY DIFFRACTION","1.65"
"2023-02-04_00000137_1","2023-02-04","0","0","40","8c3x [A]","234","X-RAY DIFFRACTION","0.82"
"2023-02-04_00000162_1","2023-02-04","0","2","41","8eyn [A]","568","X-RAY DIFFRACTION","1.94"
"2023-02-04_00000189_2","2023-02-04","0","1","35","8h3x [A]","128","X-RAY DIFFRACTION","1.66"
"2023-02-04_00000190_2","2023-02-04","0","1","35","8h3y [D]","127","X-RAY DIFFRACTION","2.25"
"2023-01-28_00000031_1","2023-01-28","2","1","52","7ued [M]","312","X-RAY DIFFRACTION","3"
"2023-01-28_00000067_1","2023-01-28","1","0","51","7wrn [A]","310","X-RAY DIFFRACTION","1.85"
"2023-01-28_00000075_1","2023-01-28","2","2","47","7xhs [A]","104","X-RAY DIFFRACTION","2.11"
"2023-01-28_00000077_1","2023-01-28","1","0","53","7xrj [A]","341","X-RAY DIFFRACTION","2.2"
"2023-01-28_00000112_1","2023-01-28","0","2","50","7zob [E]","140","X-RAY DIFFRACTION","1.2"
"2023-01-28_00000116_1","2023-01-28","1","0","50","8a0h [A]","325","X-RAY DIFFRACTION","1.73"
"2023-01-28_00000122_1","2023-01-28","1","2","52","8abt [B]","251","X-RAY DIFFRACTION","1.39"
"2023-01-28_00000129_1","2023-01-28","0","1","50","8b58 [B]","211","X-RAY DIFFRACTION","1.1"
"2023-01-28_00000198_1","2023-01-28","1","0","49","8eef [B]","449","X-RAY DIFFRACTION","2.21"
"2023-01-28_00000267_1","2023-01-28","1","0","44","8gu3 [A]","322","X-RAY DIFFRACTION","3.01"
"2023-01-21_00000000_1","2023-01-21","1","2","53","7fct [B]","246","X-RAY DIFFRACTION","1.8"
"2023-01-21_00000017_1","2023-01-21","2","2","43","7qrj [B]","184","X-RAY DIFFRACTION","1.38"
"2023-01-21_00000023_1","2023-01-21","1","0","51","7qsg [A]","437","X-RAY DIFFRACTION","2.75"
"2023-01-21_00000030_1","2023-01-21","1","0","45","7qtz [A]","377","X-RAY DIFFRACTION","2.1"
"2023-01-21_00000049_1","2023-01-21","0","2","51","7sve [C]","331","X-RAY DIFFRACTION","2.15"
"2023-01-21_00000079_1","2023-01-21","2","2","46","7tak [A]","471","X-RAY DIFFRACTION","2.79828"
"2023-01-21_00000143_1","2023-01-21","0","0","43","7wd4 [A]","446","X-RAY DIFFRACTION","1.75"
"2023-01-21_00000173_1","2023-01-21","0","0","45","7wnt [A]","558","X-RAY DIFFRACTION","2.44"
"2023-01-21_00000204_1","2023-01-21","0","2","46","7xto [B]","276","X-RAY DIFFRACTION","2.48"
"2023-01-21_00000211_1","2023-01-21","2","2","47","7yny [A]","413","X-RAY DIFFRACTION","3.51"
"2023-01-21_00000239_1","2023-01-21","1","2","50","8b3e [A]","437","X-RAY DIFFRACTION","1.26"
"2023-01-21_00000240_1","2023-01-21","1","2","45","8b3w [A]","360","X-RAY DIFFRACTION","1.681"
"2023-01-21_00000242_1","2023-01-21","2","2","43","8bcq [B]","249","X-RAY DIFFRACTION","2.7"
"2023-01-21_00000262_1","2023-01-21","0","2","45","8d4w [A]","140","X-RAY DIFFRACTION","1.35"
"2023-01-21_00000287_1","2023-01-21","1","0","47","8dp9 [A]","148","X-RAY DIFFRACTION","1.76"
"2023-01-14_00000023_2","2023-01-14","1","1","48","7qot [C]","31","X-RAY DIFFRACTION","3.24"
"2023-01-14_00000030_1","2023-01-14","2","0","46","7qpk [B]","413","X-RAY DIFFRACTION","2.75"
"2023-01-14_00000032_1","2023-01-14","2","0","42","7qpr [D]","701","X-RAY DIFFRACTION","2.513"
"2023-01-14_00000061_1","2023-01-14","1","0","47","7t9q [A]","38","X-RAY DIFFRACTION","1.8"
"2023-01-14_00000069_1","2023-01-14","1","0","52","7tjb [A]","227","X-RAY DIFFRACTION","1.30003"
"2023-01-14_00000123_1","2023-01-14","0","1","44","7x8q [A]","129","X-RAY DIFFRACTION","2.65"
"2023-01-14_00000141_1","2023-01-14","1","0","40","7y43 [A]","86","X-RAY DIFFRACTION","1.5"
"2023-01-14_00000152_1","2023-01-14","0","2","39","7yq0 [A]","175","X-RAY DIFFRACTION","1.58"
"2023-01-14_00000270_1","2023-01-14","1","0","42","8ezw [D]","160","X-RAY DIFFRACTION","2"
"2023-01-14_00000273_1","2023-01-14","0","1","40","8f8y [B]","455","X-RAY DIFFRACTION","3.06"
"2023-01-14_00000300_1","2023-01-14","1","2","41","8hdv [A]","183","X-RAY DIFFRACTION","2.65"
"2023-01-14_00000303_1","2023-01-14","0","2","37","8hhk [C]","30","X-RAY DIFFRACTION","2.5"
"2023-01-14_00000305_1","2023-01-14","1","2","44","8hu6 [B]","678","X-RAY DIFFRACTION","2.33"
"2023-01-07_00000022_1","2023-01-07","2","1","46","7t6a [A]","185","X-RAY DIFFRACTION","1.65"
"2023-01-07_00000038_1","2023-01-07","1","1","49","7tsq [A]","244","X-RAY DIFFRACTION","2.11"
"2023-01-07_00000041_1","2023-01-07","0","0","48","7tuv [A]","745","X-RAY DIFFRACTION","2.225"
"2023-01-07_00000043_1","2023-01-07","0","0","45","7u1b [A]","469","X-RAY DIFFRACTION","2.62"
"2023-01-07_00000058_2","2023-01-07","1","1","51","7uv8 [U]","212","X-RAY DIFFRACTION","2.7"
"2023-01-07_00000073_2","2023-01-07","1","1","47","7wjq [B]","389","X-RAY DIFFRACTION","2.7"
"2023-01-07_00000094_1","2023-01-07","0","0","52","7z3s [A]","298","X-RAY DIFFRACTION","1.99"
"2023-01-07_00000117_3","2023-01-07","2","1","49","8ab1 [E]","80","X-RAY DIFFRACTION","2.77"
"2023-01-07_00000205_1","2023-01-07","1","0","49","8dk0 [A]","312","X-RAY DIFFRACTION","1.55"
"2023-01-07_00000207_2","2023-01-07","0","1","47","8dkt [B]","282","X-RAY DIFFRACTION","2.38"
"2023-01-07_00000228_1","2023-01-07","0","0","46","8edk [A]","449","X-RAY DIFFRACTION","2.5"
"2023-01-07_00000233_1","2023-01-07","1","1","43","8enb [C]","92","X-RAY DIFFRACTION","2.35"
"2023-01-07_00000233_2","2023-01-07","1","1","42","8enb [D]","106","X-RAY DIFFRACTION","2.35"
